type,extensions,note_numbers
major,[],"[20, 32, 51]"
dominant,[],"[13, 25, 53]"
dominant-13th,[],"[13, 25, 53]"
minor-seventh,[],"[25, 44, 47, 54]"
dominant,[],"[30, 40, 47, 54]"
major-seventh,[],"[28, 35, 39, 44]"
dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[28, 42, 46]"
major,[],"[27, 37, 42, 47]"
dominant,[],"[26, 36, 42]"
dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[25, 41, 45, 49]"
dominant,[],"[30, 34, 40, 44, 49]"
dominant-13th,"[{'degree': '11', 'alter': '1', 'type': 'alter'}]","[21, 43, 51]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[25, 44, 53]"
dominant-13th,[],"[41, 46, 49]"
minor-seventh,[],"[28, 38, 43, 47, 52]"
dominant-13th,[],"[21, 31, 37, 42, 49]"
dominant,[],"[30, 40, 44, 49]"
major-seventh,[],"[35, 42, 46, 51]"
major-seventh,[],"[34, 39, 42, 47]"
minor-seventh,[],"[32, 39, 42, 47]"
minor-seventh,[],"[30, 42, 46, 51]"
dominant,[],"[29, 35, 41, 44, 49]"
dominant,[],"[28, 38, 42, 46, 49]"
dominant-13th,[],"[26, 36, 42, 44, 47]"
minor-seventh,[],"[25, 40, 42]"
dominant-ninth,[],"[30, 40, 44, 49]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[29, 39, 44, 47]"
minor-seventh,[],"[28, 38, 43, 47]"
minor-seventh,[],"[27, 37, 42, 47]"
minor-seventh,[],"[26, 36, 41, 47]"
minor-seventh,[],"[25, 35, 39, 40, 47]"
dominant-ninth,[],"[24, 34, 38, 40, 47]"
major-seventh,[],"[23, 39, 42, 46]"
dominant-ninth,[],"[34, 40, 44, 49]"
minor,[],"[37, 44, 47, 52]"
dominant,[],"[33, 43, 49, 54, 59]"
minor-seventh,[],"[27, 37, 45, 51, 56]"
minor-seventh,[],"[13, 52, 56, 61]"
major-minor,[],"[37, 48, 52, 56]"
minor-seventh,[],"[37, 44, 47, 52]"
half-diminished,[],"[39, 46, 49, 54]"
major-seventh,[],"[40, 47, 51, 56]"
dominant,[],"[32, 42, 46, 48, 52]"
minor-seventh,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","[22, 32, 38, 42, 49]"
dominant,[],"[21, 40, 43, 49]"
minor-seventh,[],"[27, 37, 45, 49, 55]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[32, 42, 45, 48, 51, 54]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[32, 42, 45, 48, 51, 54]"
minor,[],"[25, 35, 40, 44, 49]"
dominant,[],"[24, 34, 38, 41, 43]"
minor-seventh,[],"[23, 33, 38, 42]"
dominant-13th,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}]","[28, 38, 50, 53, 56, 61]"
