root,type,extensions,notes,note_numbers
B,minor-seventh,[],"['B2', 'A3', 'D4', 'A4']","[27, 37, 42, 49]"
E,dominant,[],"['G#3', 'C#4', 'G#4']","[36, 41, 48]"
Bb,minor-seventh,[],"['Bb2', 'Ab3', 'Db4', 'Ab4']","[26, 36, 41, 48]"
Eb,dominant,[],"['G3', 'C4', 'G4']","[35, 40, 47]"
Db,dominant,[],"['F4', 'Bb4', 'F5', 'Gb5']","[45, 50, 57, 58]"
Gb,major-seventh,[],"['Ab2', 'Gb3', 'C4', 'F4']","[24, 34, 40, 45]"
Ab,dominant-13th,[],"['Ab2', 'Gb3', 'C4', 'F4']","[24, 34, 40, 45]"
C,half-diminished,[],"['C3', 'Gb3', 'Bb3', 'Eb4', 'Gb4']","[28, 34, 38, 43, 46]"
B,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","['Db4', 'Eb4', 'F4']","[41, 43, 45]"
Eb,minor-seventh,[],"['Eb2', 'F3', 'Gb3', 'C4', 'Eb4']","[19, 33, 34, 40, 43]"
C,half-diminished,[],"['C3', 'Gb3', 'Bb3', 'Eb4', 'Gb4']","[28, 34, 38, 43, 46]"
B,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","['B2', 'A3', 'Db4', 'Eb4', 'F4']","[27, 37, 41, 43, 45]"
Bb,dominant,[],"['Bb2', 'Ab3', 'D4']","[26, 36, 42]"
Bb,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","['B3', 'E4', 'Ab4', 'Bb4']","[39, 44, 48, 50]"
C,half-diminished,[],"['C3', 'Gb3', 'Bb3', 'Eb4', 'Gb4']","[28, 34, 38, 43, 46]"
B,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","['B2', 'A3', 'Db4', 'F4', 'Gb4']","[27, 37, 41, 45, 46]"
Bb,dominant,[],"['Bb2', 'Ab3', 'C4', 'D4']","[26, 36, 40, 42]"
Bb,major,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","['Ab3', 'D4', 'Gb4', 'B4', 'E5', 'Ab5', 'Bb5']","[36, 42, 46, 51, 56, 60, 62]"
Ab,minor-seventh,[],"['Ab2', 'Gb3', 'B3', 'Eb4', 'Gb4', 'B4']","[24, 34, 39, 43, 46, 51]"
F#,minor-11th,[],"['F#2', 'E3', 'A3', 'C#4', 'E4', 'G#4', 'B4']","[22, 32, 37, 41, 44, 48, 51]"
F,minor-11th,[],"['F2', 'Eb3', 'Ab3', 'C4', 'Eb4', 'G4', 'Bb4']","[21, 31, 36, 40, 43, 47, 50]"
Bb,dominant,[],"['Bb2', 'Ab3', 'C4', 'D4', 'Bb4']","[26, 36, 40, 42, 50]"
Eb,minor-seventh,[],"['Eb2', 'Db3', 'Gb3', 'Bb3', 'Db4', 'Gb4']","[19, 29, 34, 38, 41, 46]"
Db,minor-11th,[],"['Db2', 'E3', 'Ab3', 'B3', 'Eb4', 'Gb4']","[17, 32, 36, 39, 43, 46]"
C,minor-11th,[],"['C2', 'Eb3', 'G3', 'Bb3', 'D4', 'F4']","[16, 31, 35, 38, 42, 45]"
F,dominant,[],"['F2', 'Eb3', 'G3', 'A3', 'C4', 'D4', 'F4']","[21, 31, 35, 37, 40, 42, 45]"
Bb,minor-11th,[],"['Bb2', 'Ab3', 'Db4', 'F4', 'Ab4', 'C5', 'Eb5']","[26, 36, 41, 45, 48, 52, 55]"
Eb,dominant,[],"['Eb3', 'Db4', 'F4', 'G4', 'Bb4', 'C5', 'Eb5']","[31, 41, 45, 47, 50, 52, 55]"
Ab,minor-11th,[],"['Ab2', 'Gb3', 'B3', 'Eb4', 'Gb4', 'Bb4', 'Db5']","[24, 34, 39, 43, 46, 50, 53]"
Db,dominant,[],"['Db3', 'B3', 'Eb4', 'F4', 'Bb4', 'Db5']","[29, 39, 43, 45, 50, 53]"
F#,minor-11th,[],"['F#2', 'E3', 'A3', 'C#4', 'E4', 'G#4', 'B4']","[22, 32, 37, 41, 44, 48, 51]"
B,dominant,[],"['B2', 'A3', 'C#4', 'D#4', 'G#4', 'B4']","[27, 37, 41, 43, 48, 51]"
F,minor-11th,[],"['F2', 'Eb3', 'Ab3', 'C4', 'Eb4', 'G4', 'Bb4']","[21, 31, 36, 40, 43, 47, 50]"
Bb,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","['B3', 'E4', 'Ab4', 'Bb4']","[39, 44, 48, 50]"
Eb,minor-seventh,[],"['D2', 'D3', 'Bb3']","[18, 30, 38]"
C,half-diminished,[],"['C3', 'Gb3', 'Bb3', 'Eb4']","[28, 34, 38, 43]"
F,half-diminished,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","['F2', 'Eb3', 'Ab3', 'B3', 'Eb4', 'Bb4']","[21, 31, 36, 39, 43, 50]"
Bb,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","['Bb2', 'Ab3', 'B3', 'Fb4', 'Ab4']","[26, 36, 39, 44, 48]"
Eb,minor-seventh,[],"['Bb3', 'Db4', 'Gb4']","[38, 41, 46]"
Ab,dominant,[],"['C4', 'F4', 'C5', 'Db5']","[40, 45, 52, 53]"
B,minor-seventh,[],"['B2', 'A3', 'D4', 'A4']","[27, 37, 42, 49]"
E,dominant,[],"['G#3', 'C#4', 'G#4']","[36, 41, 48]"
Bb,minor-seventh,[],"['Bb2', 'Ab3', 'Db4', 'Ab4']","[26, 36, 41, 48]"
Eb,dominant,[],"['Eb2', 'Db3', 'G3', 'C4', 'G4']","[19, 29, 35, 40, 47]"
Db,dominant-13th,[],"['F4', 'B4', 'F5', 'Gb5']","[45, 51, 57, 58]"
Gb,major-seventh,[],"['Gb2', 'F3', 'Bb3', 'Eb4', 'Bb4']","[22, 33, 38, 43, 50]"
C,half-diminished,[],"['C3', 'Gb3', 'Bb3', 'Eb4', 'Gb4']","[28, 34, 38, 43, 46]"
B,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","['B2', 'Eb3', 'A3', 'Db4', 'F4']","[27, 31, 37, 41, 45]"
Bb,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['Bb2', 'Ab3', 'B3', 'F4']","[26, 36, 39, 45]"
Eb,minor-seventh,[],"['Eb2', 'Bb2', 'F3', 'Gb3', 'C4', 'Eb4']","[19, 26, 33, 34, 40, 43]"
Eb,major-minor,[],"['Eb3', 'C4', 'Gb4', 'F5', 'D6']","[31, 40, 46, 57, 66]"
C,major-seventh,[],"['C2', 'G3', 'B3', 'E4']","[16, 35, 39, 44]"
F,major-seventh,[],"['G2', 'F3', 'A3', 'C4', 'E4']","[23, 33, 37, 40, 44]"
C,major-seventh,[],"['G2', 'A3', 'C4', 'G4']","[23, 37, 40, 47]"
F,major-seventh,[],"['G2', 'A3', 'C4', 'G4']","[23, 37, 40, 47]"
C,major-sixth,[],"['C2', 'C3', 'E3', 'A3', 'D4']","[16, 28, 32, 37, 42]"
F,major-seventh,[],"['G2', 'C3', 'F3', 'G3']","[23, 28, 33, 35]"
C,major-sixth,[],"['C2', 'E3', 'A3', 'D4']","[16, 32, 37, 42]"
F,major,[],"['F3', 'A3', 'C4', 'E4']","[33, 37, 40, 44]"
C,major-seventh,[],"['C2', 'B3', 'D4', 'E4', 'G4']","[16, 39, 42, 44, 47]"
D,minor-seventh,[],"['C2', 'B3', 'D4', 'E4', 'G4']","[16, 39, 42, 44, 47]"
E,minor-seventh,[],"['C2', 'G3', 'B3', 'D4', 'G4']","[16, 35, 39, 42, 47]"
D,minor-seventh,[],"['G1', 'A3', 'C4', 'E4']","[11, 37, 40, 44]"
E,minor-seventh,[],"['E2', 'B3', 'D4', 'G4', 'B4']","[20, 39, 42, 47, 51]"
D#,minor-seventh,[],"['D#2', 'A#3', 'C#4', 'F#4']","[19, 38, 41, 46]"
D,minor-seventh,[],"['D2', 'A3', 'C4', 'D4', 'F4']","[18, 37, 40, 42, 45]"
G,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","['G2', 'F3', 'D4', 'F4', 'A4', 'C5']","[23, 33, 42, 45, 49, 52]"
G,dominant-ninth,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","['G2', 'F3', 'B3', 'D#4', 'A4']","[23, 33, 39, 43, 49]"
C,dominant-ninth,[],"['B3', 'C4', 'E4', 'G4']","[39, 40, 44, 47]"
E,dominant,[],"['E2', 'D3', 'G#3', 'C4', 'E4']","[20, 30, 36, 40, 44]"
E,minor-seventh,[],"['E2', 'B3', 'D4', 'G4', 'B4']","[20, 39, 42, 47, 51]"
A,minor-ninth,[],"['A2', 'G3', 'B3', 'C4', 'E4', 'G4']","[25, 35, 39, 40, 44, 47]"
E,minor-ninth,[],"['E2', 'D3', 'B3', 'D4', 'G4']","[20, 30, 39, 42, 47]"
Eb,minor-ninth,[],"['Eb2', 'Db3', 'Bb3', 'Db4', 'Gb4']","[19, 29, 38, 41, 46]"
D,minor-seventh,[],"['D2', 'A3', 'C4', 'F4']","[18, 37, 40, 45]"
C,major-seventh,[],"['C2', 'G3', 'B3', 'E4']","[16, 35, 39, 44]"
E,dominant,[],"['E2', 'D3', 'E4', 'G#4', 'C5', 'E5']","[20, 30, 44, 48, 52, 56]"
A,minor-seventh,[],"['A2', 'B3', 'C4']","[25, 39, 40]"
E,minor-seventh,[],"['E2', 'B3', 'D4', 'G4', 'B4']","[20, 39, 42, 47, 51]"
A,minor-ninth,[],"['A2', 'G3', 'B3', 'C4', 'E4', 'G4']","[25, 35, 39, 40, 44, 47]"
D,dominant-ninth,[],"['D2', 'C4', 'E4', 'F#4', 'A4']","[18, 40, 44, 46, 49]"
E,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","['E2', 'B3', 'D4', 'F#4', 'A4']","[20, 39, 42, 46, 49]"
F#,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","['F#2', 'E3', 'G#4', 'B4', 'E5']","[22, 32, 48, 51, 56]"
F,major-seventh,[],"['G2', 'F4', 'A4', 'D5']","[23, 45, 49, 54]"
F,major-seventh,[],"['G2', 'F4', 'F4', 'A4', 'A4', 'D5']","[23, 45, 45, 49, 49, 54]"
E,minor-seventh,[],"['E2', 'B3', 'D4', 'G4', 'B4']","[20, 39, 42, 47, 51]"
A,minor-ninth,[],"['A2', 'G3', 'B3', 'C4', 'E4', 'G4']","[25, 35, 39, 40, 44, 47]"
E,minor-ninth,[],"['E2', 'D3', 'B3', 'D4', 'G4']","[20, 30, 39, 42, 47]"
Eb,minor-ninth,[],"['Eb2', 'Db3', 'Bb3', 'Db4', 'Gb4']","[19, 29, 38, 41, 46]"
D,minor-seventh,[],"['D2', 'A3', 'C4', 'F4']","[18, 37, 40, 45]"
D,minor-seventh,[],"['G2', 'F3', 'C5']","[23, 33, 52]"
C,major-seventh,[],"['C2', 'G3', 'B3', 'E4']","[16, 35, 39, 44]"
E,dominant,[],"['E2', 'D3', 'E4', 'G#4', 'C5', 'E5']","[20, 30, 44, 48, 52, 56]"
A,minor-seventh,[],"['A2', 'B3', 'C4']","[25, 39, 40]"
E,minor-seventh,[],"['E2', 'B4', 'D5', 'G5']","[20, 51, 54, 59]"
D,dominant-ninth,[],"['D2', 'C4', 'E4', 'F#4', 'A4']","[18, 40, 44, 46, 49]"
E,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","['E2', 'B3', 'D4', 'F#4', 'A4']","[20, 39, 42, 46, 49]"
F#,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","['F#2', 'E3', 'G#4', 'B4', 'E5']","[22, 32, 48, 51, 56]"
F,major-seventh,[],"['G2', 'F4', 'A4', 'D5']","[23, 45, 49, 54]"
C,major-seventh,[],"['C2', 'G3', 'B3', 'E4']","[16, 35, 39, 44]"
F,major-seventh,[],"['G2', 'F3', 'A3', 'C4', 'E4']","[23, 33, 37, 40, 44]"
C,major-seventh,[],"['C2', 'E3', 'A3', 'D4']","[16, 32, 37, 42]"
F,major-seventh,[],"['G2', 'F3', 'A3', 'C4', 'E4']","[23, 33, 37, 40, 44]"
C,major-seventh,[],"['C2', 'G3', 'B3', 'E4']","[16, 35, 39, 44]"
F,major-seventh,[],"['G2', 'F3', 'A3', 'C4', 'E4']","[23, 33, 37, 40, 44]"
C,major-seventh,[],"['C2', 'E3', 'A3', 'D4']","[16, 32, 37, 42]"
F,major-seventh,[],"['G2', 'F3', 'A3', 'C4', 'E4']","[23, 33, 37, 40, 44]"
A,minor,[],"['A2', 'E3', 'C4', 'C5']","[25, 32, 40, 52]"
F,major,[],"['F2', 'C5', 'F5']","[21, 52, 57]"
C,major,[],"['G2', 'E4', 'C5']","[23, 44, 52]"
G,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['G2', 'D3', 'C4', 'F4', 'A4']","[23, 30, 40, 45, 49]"
C,major,[],"['C2', 'E4', 'G4']","[16, 44, 47]"
D,major,[],"['F#2', 'F#4', 'A4', 'D5']","[22, 46, 49, 54]"
F,major-seventh,[],"['F2', 'F#4', 'D5']","[21, 46, 54]"
C,major,[],"['E2', 'C4', 'E4', 'G4', 'C5']","[20, 40, 44, 47, 52]"
Ab,major,[],"['Ab2', 'C4', 'G4']","[24, 40, 47]"
F,minor-seventh,[],"['F2', 'Ab3', 'F4']","[21, 36, 45]"
Bb,suspended-fourth,[],"['Bb2', 'D4', 'F4']","[26, 42, 45]"
C,major-seventh,[],"['G2', 'E4', 'G4']","[23, 44, 47]"
G,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['G2', 'F4', 'A4']","[23, 45, 49]"
C,major,[],"['C3', 'E4', 'G4']","[28, 44, 47]"
G,major-seventh,[],"['G2', 'F#3', 'B3', 'E4']","[23, 34, 39, 44]"
C,dominant-ninth,[],"['C3', 'Bb3', 'D4', 'E4']","[28, 38, 42, 44]"
B,minor-seventh,[],"['B2', 'A3', 'D4', 'E4']","[27, 37, 42, 44]"
Bb,dominant,[],"['Bb2', 'Ab3', 'D4']","[26, 36, 42]"
A,minor-seventh,[],"['A2', 'G3', 'C4', 'D4']","[25, 35, 40, 42]"
Ab,dominant,[],"['Ab2', 'Gb3', 'C4', 'D4']","[24, 34, 40, 42]"
G,major-seventh,[],"['G2', 'B3', 'D4']","[23, 39, 42]"
D,minor-seventh,[],"['D2', 'A3', 'C4', 'F4']","[18, 37, 40, 45]"
G,dominant-13th,[],"['G2', 'F3', 'A3', 'E4', 'A4']","[23, 33, 37, 44, 49]"
C,major-seventh,[],"['C3', 'G3', 'B3', 'E4']","[28, 35, 39, 44]"
C,dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","['C3', 'D4', 'F#4']","[28, 42, 46]"
B,minor-seventh,[],"['B2', 'A3', 'D4', 'G4']","[27, 37, 42, 47]"
F,dominant,[],"['F2', 'Eb3', 'A3', 'D4']","[21, 31, 37, 42]"
E,dominant,[],"['G#3', 'D4', 'G4']","[36, 42, 47]"
Bb,dominant,[],"['Bb2', 'Ab3', 'C4', 'D4']","[26, 36, 40, 42]"
A,minor-seventh,[],"['A2', 'G3', 'C#4', 'F4', 'C5']","[25, 35, 41, 45, 52]"
D,dominant,[],"['D3', 'Eb4', 'F#4', 'C5']","[30, 43, 46, 52]"
B,minor-seventh,[],"['B2', 'A3', 'Db4', 'Gb4', 'B4']","[27, 37, 41, 46, 51]"
E,dominant,[],"['E3', 'G#3', 'D4', 'F#4', 'C5']","[32, 36, 42, 46, 52]"
A,minor-seventh,[],"['A2', 'G3', 'C4', 'E4', 'B4']","[25, 35, 40, 44, 51]"
D,dominant,[],"['D3', 'F#3', 'C4', 'Eb4', 'F#4', 'B4']","[30, 34, 40, 43, 46, 51]"
G,major-seventh,[],"['G2', 'D4', 'F#4', 'B4']","[23, 42, 46, 51]"
D,minor-seventh,[],"['C4', 'E4', 'A4']","[40, 44, 49]"
G,dominant,[],"['B3', 'E4', 'G4']","[39, 44, 47]"
A,minor-seventh,[],"['A2', 'E4', 'G4', 'C5']","[25, 44, 47, 52]"
D,minor-seventh,[],"['D3', 'C4', 'E4', 'A4']","[30, 40, 44, 49]"
D,minor-seventh,[],"['D4', 'A4', 'C5', 'F5']","[42, 49, 52, 57]"
C#,half-diminished,[],"['C#4', 'G4', 'A#4', 'E5']","[41, 47, 50, 56]"
D,minor-seventh,[],"['C4', 'F4', 'A4', 'D5']","[40, 45, 49, 54]"
D,minor-seventh,[],"['A3', 'F4', 'A4', 'C5']","[37, 45, 49, 52]"
F,major-seventh,[],"['F3', 'C4', 'E4', 'A4']","[33, 40, 44, 49]"
D,minor-seventh,[],"['D3', 'A3', 'C4', 'F4']","[30, 37, 40, 45]"
Ab,dominant,[],"['Ab2', 'Gb3', 'A3', 'C4', 'F4']","[24, 34, 37, 40, 45]"
G,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['G2', 'F3', 'Ab3', 'B3', 'E4']","[23, 33, 36, 39, 44]"
C,major-seventh,[],"['C3', 'B3', 'D4', 'E4', 'G4']","[28, 39, 42, 44, 47]"
B,minor-seventh,[],"['B2', 'A3', 'D4', 'F4']","[27, 37, 42, 45]"
Bb,dominant,[],"['Bb2', 'Ab3', 'D4', 'G4']","[26, 36, 42, 47]"
A,minor-seventh,[],"['A2', 'E4', 'G4', 'C5']","[25, 44, 47, 52]"
F#,minor-seventh,[],"['F#2', 'A#3', 'D4', 'A4']","[22, 38, 42, 49]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}, {'degree': '11', 'alter': '1', 'type': 'add'}]","['C3', 'Bb3', 'D4', 'F#4']","[28, 38, 42, 46]"
B,dominant,[],"['B2', 'A3', 'B3', 'C#4', 'F#4']","[27, 37, 39, 41, 46]"
E,dominant-ninth,[],"['E2', 'E3', 'B4']","[20, 32, 51]"
E,major,[],"['E2', 'E3', 'B4']","[20, 32, 51]"
A,dominant,[],"['A1', 'A2', 'C#5']","[13, 25, 53]"
A,dominant-13th,[],"['A1', 'A2', 'C#5']","[13, 25, 53]"
A,minor-seventh,[],"['A2', 'E4', 'G4', 'D5']","[25, 44, 47, 54]"
D,dominant,[],"['D3', 'C4', 'G4', 'D5']","[30, 40, 47, 54]"
C,major-seventh,[],"['C3', 'G3', 'B3', 'E4']","[28, 35, 39, 44]"
C,dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","['C3', 'D4', 'F#4']","[28, 42, 46]"
G,major,[],"['B2', 'A3', 'D4', 'G4']","[27, 37, 42, 47]"
Bb,dominant,[],"['Bb2', 'Ab3', 'D4']","[26, 36, 42]"
A,dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","['A2', 'C#4', 'F4', 'A4']","[25, 41, 45, 49]"
D,dominant,[],"['D3', 'F#3', 'C4', 'E4', 'A4']","[30, 34, 40, 44, 49]"
F,dominant-13th,"[{'degree': '11', 'alter': '1', 'type': 'alter'}]","['F2', 'Eb4', 'B4']","[21, 43, 51]"
A,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['A2', 'E4', 'C#5']","[25, 44, 53]"
A,dominant-13th,[],"['C#4', 'F#4', 'A4']","[41, 46, 49]"
C,minor-seventh,[],"['C3', 'Bb3', 'Eb4', 'G4', 'C5']","[28, 38, 43, 47, 52]"
F,dominant-13th,[],"['F2', 'Eb3', 'A3', 'D4', 'A4']","[21, 31, 37, 42, 49]"
D,dominant,[],"['D3', 'C4', 'E4', 'A4']","[30, 40, 44, 49]"
G,major-seventh,[],"['G3', 'D4', 'F#4', 'B4']","[35, 42, 46, 51]"
G,major-seventh,[],"['F#3', 'B3', 'D4', 'G4']","[34, 39, 42, 47]"
E,minor-seventh,[],"['E3', 'B3', 'D4', 'G4']","[32, 39, 42, 47]"
E,minor-seventh,[],"['D3', 'D4', 'F#4', 'B4']","[30, 42, 46, 51]"
A,dominant,[],"['C#3', 'G3', 'C#4', 'E4', 'A4']","[29, 35, 41, 44, 49]"
C,dominant,[],"['C3', 'Bb3', 'D4', 'F#4', 'A4']","[28, 38, 42, 46, 49]"
Bb,dominant-13th,[],"['Bb2', 'Ab3', 'D4', 'E4', 'G4']","[26, 36, 42, 44, 47]"
A,minor-seventh,[],"['A2', 'C4', 'D4']","[25, 40, 42]"
D,dominant-ninth,[],"['D3', 'C4', 'E4', 'A4']","[30, 40, 44, 49]"
Db,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","['Db3', 'B3', 'E4', 'G4']","[29, 39, 44, 47]"
C,minor-seventh,[],"['C3', 'Bb3', 'Eb4', 'G4']","[28, 38, 43, 47]"
B,minor-seventh,[],"['B2', 'A3', 'D4', 'G4']","[27, 37, 42, 47]"
Bb,minor-seventh,[],"['Bb2', 'Ab3', 'Db4', 'G4']","[26, 36, 41, 47]"
A,minor-seventh,[],"['A2', 'G3', 'B3', 'C4', 'G4']","[25, 35, 39, 40, 47]"
Ab,dominant-ninth,[],"['Ab2', 'Gb3', 'Bb3', 'C4', 'G4']","[24, 34, 38, 40, 47]"
G,major-seventh,[],"['G2', 'B3', 'D4', 'F#4']","[23, 39, 42, 46]"
D,dominant-ninth,[],"['F#3', 'C4', 'E4', 'A4']","[34, 40, 44, 49]"
A,minor,[],"['A3', 'E4', 'G4', 'C5']","[37, 44, 47, 52]"
F,dominant,[],"['F3', 'Eb4', 'A4', 'D5', 'G5']","[33, 43, 49, 54, 59]"
B,minor-seventh,[],"['B2', 'A3', 'F4', 'B4', 'E5']","[27, 37, 45, 51, 56]"
A,minor-seventh,[],"['A1', 'C5', 'E5', 'A5']","[13, 52, 56, 61]"
A,major-minor,[],"['A3', 'Ab4', 'C5', 'E5']","[37, 48, 52, 56]"
A,minor-seventh,[],"['A3', 'E4', 'G4', 'C5']","[37, 44, 47, 52]"
B,half-diminished,[],"['B3', 'F#4', 'A4', 'D5']","[39, 46, 49, 54]"
C,major-seventh,[],"['C4', 'G4', 'B4', 'E5']","[40, 47, 51, 56]"
E,dominant,[],"['E3', 'D4', 'F#4', 'G#4', 'C5']","[32, 42, 46, 48, 52]"
F#,minor-seventh,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","['F#2', 'E3', 'Bb3', 'D4', 'A4']","[22, 32, 38, 42, 49]"
F,dominant,[],"['F2', 'C4', 'Eb4', 'A4']","[21, 40, 43, 49]"
B,minor-seventh,[],"['B2', 'A3', 'F4', 'A4', 'Eb5']","[27, 37, 45, 49, 55]"
E,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['E3', 'D4', 'F4', 'G#4', 'B4', 'D5']","[32, 42, 45, 48, 51, 54]"
E,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['E3', 'D4', 'F4', 'G#4', 'B4', 'D5']","[32, 42, 45, 48, 51, 54]"
A,minor,[],"['A2', 'G3', 'C4', 'E4', 'A4']","[25, 35, 40, 44, 49]"
Ab,dominant,[],"['Ab2', 'Gb3', 'Bb3', 'Db4', 'Eb4']","[24, 34, 38, 41, 43]"
G,minor-seventh,[],"['G2', 'F3', 'Bb3', 'D4']","[23, 33, 38, 42]"
C,dominant-13th,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}]","['C3', 'Bb3', 'Bb4', 'Db5', 'E5', 'A5']","[28, 38, 50, 53, 56, 61]"
F,major-seventh,[],"['F2', 'E3', 'C5', 'E5', 'A5']","[21, 32, 52, 56, 61]"
Gb,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","['Gb3', 'E4', 'Ab4', 'C5']","[34, 44, 48, 52]"
Ab,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","['Ab2', 'Gb3', 'Bb3', 'Db4']","[24, 34, 38, 41]"
G,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['G2', 'F3', 'A3', 'C4']","[23, 33, 37, 40]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","['C3', 'Bb3', 'D4', 'F4', 'A4']","[28, 38, 42, 45, 49]"
Bb,minor-seventh,[],"['Bb2', 'Ab3', 'Bb3', 'D4', 'G4']","[26, 36, 38, 42, 47]"
Ab,minor-seventh,[],"['Ab2', 'Gb3', 'Ab3', 'C4', 'F4']","[24, 34, 36, 40, 45]"
E,dominant-13th,[],"['E3', 'D4', 'E4', 'G#4', 'C5']","[32, 42, 44, 48, 52]"
F,major-seventh,[],"['F3', 'C4', 'E4', 'A4']","[33, 40, 44, 49]"
C#,minor-seventh,[],"['C#3', 'B3', 'E4', 'A4']","[29, 39, 44, 49]"
F#,minor-seventh,[],"['F#2', 'E3', 'A3', 'C#4', 'F#4']","[22, 32, 37, 41, 46]"
B,dominant-ninth,[],"['B2', 'A3', 'D#4', 'G4', 'C5']","[27, 37, 43, 47, 52]"
F#,dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","['F#3', 'C4', 'E4', 'G#4']","[34, 40, 44, 48]"
F,major-seventh,[],"['F3', 'C4', 'E4', 'A4']","[33, 40, 44, 49]"
E,major-seventh,[],"['E3', 'Eb4', 'Ab4', 'B4']","[32, 43, 48, 51]"
F,half-diminished,[],"['F2', 'Eb3', 'Ab3', 'B3']","[21, 31, 36, 39]"
B,minor-seventh,[],"['B2', 'A3', 'F#4', 'A4', 'D5']","[27, 37, 46, 49, 54]"
E,minor-seventh,[],"['E3', 'D4', 'F#4']","[32, 42, 46]"
F,minor-ninth,[],"['F3', 'Eb4', 'G4']","[33, 43, 47]"
G,major-seventh,[],"['A3', 'D4', 'F#4']","[37, 42, 46]"
B,minor-seventh,[],"['B3', 'F#4', 'A4', 'D5']","[39, 46, 49, 54]"
B,dominant,[],"['B2', 'A3', 'F#4', 'A4', 'D#5']","[27, 37, 46, 49, 55]"
E,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","['E3', 'D4', 'F#4', 'B4', 'E5']","[32, 42, 46, 51, 56]"
B,major-minor,[],"['B2', 'A3', 'D#4', 'G4', 'D5']","[27, 37, 43, 47, 54]"
E,dominant-ninth,[],"['E3', 'D4', 'F#4', 'B4']","[32, 42, 46, 51]"
E,dominant,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","['E2', 'D3', 'Ab3', 'C4']","[20, 30, 36, 40]"
A,minor-seventh,[],"['A2', 'C4', 'E4', 'A4']","[25, 40, 44, 49]"
E,dominant,[],"['E3', 'D4', 'E4', 'Ab4', 'C5']","[32, 42, 44, 48, 52]"
A,major-seventh,[],"['A2', 'C4', 'E4', 'B4']","[25, 40, 44, 51]"
