root,type,extensions,notes,note_numbers
A,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['A2', 'C#4', 'E4', 'Bb4']","[25, 41, 44, 50]"
E,half-diminished,[],"['G2', 'F3', 'Bb3', 'D4']","[23, 33, 38, 42]"
A,dominant,[],"['G1', 'F3', 'Bb3', 'D4']","[11, 33, 38, 42]"
Db,dominant,[],"['Ab3', 'Cb4', 'Eb4']","[36, 39, 43]"
F,dominant,[],"['A3', 'C4', 'Eb4', 'G4']","[37, 40, 43, 47]"
E,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['G#3', 'B3', 'D4', 'F4']","[36, 39, 42, 45]"
A,dominant,[],"['A2', 'Bb3', 'C#4', 'G4']","[25, 38, 41, 47]"
G,minor-sixth,[],"['G2', 'F3', 'G3', 'Bb3', 'D4', 'E4']","[23, 33, 35, 38, 42, 44]"
A,dominant,[],"['A2', 'Bb3', 'C#4', 'G4']","[25, 38, 41, 47]"
D,major-minor,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","['F3', 'A3', 'B3', 'D4', 'F4', 'A4', 'C#5', 'E5']","[33, 37, 39, 42, 45, 49, 53, 56]"
A,half-diminished,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","['A2', 'G3', 'C4', 'Eb4', 'G4', 'D5']","[25, 35, 40, 43, 47, 54]"
D,augmented-seventh,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","['D3', 'C4', 'Gb4', 'Bb4', 'F5']","[30, 40, 46, 50, 57]"
G,half-diminished,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","['G2', 'F3', 'Bb3', 'Db4', 'F4', 'C5']","[23, 33, 38, 41, 45, 52]"
C,augmented-seventh,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","['C3', 'Bb3', 'E4', 'Ab4', 'Eb5']","[28, 38, 44, 48, 55]"
F,half-diminished,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","['F2', 'Eb3', 'Ab3', 'B3', 'Eb4', 'Bb4']","[21, 31, 36, 39, 43, 50]"
Bb,augmented-seventh,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","['Bb2', 'Ab3', 'D4', 'Gb4', 'Db5']","[26, 36, 42, 46, 53]"
Bb,major,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","['Bb2', 'Ab3', 'Db4', 'E4']","[26, 36, 41, 44]"
B,half-diminished,[],"['Bb2', 'Ab3', 'Db4', 'E4']","[26, 36, 41, 44]"
Eb,major-minor,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","['Eb2', 'Bb2', 'Gb3', 'D4', 'Ab4']","[19, 26, 34, 42, 48]"
Eb,major-minor,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","['Eb2', 'Gb3', 'D4', 'Ab4']","[19, 34, 42, 48]"
Eb,minor-seventh,[],"['D2', 'D3', 'Bb3', 'Eb4']","[18, 30, 38, 43]"
C,half-diminished,[],"['Bb3', 'Eb4', 'Gb4', 'Bb4']","[38, 43, 46, 50]"
F,half-diminished,[],"['F2', 'Eb3', 'Ab3', 'B3', 'Eb4']","[21, 31, 36, 39, 43]"
Bb,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['Bb2', 'Ab3', 'B3', 'D4', 'Ab4']","[26, 36, 39, 42, 48]"
Eb,minor-seventh,[],"['Eb2', 'Gb3', 'Bb3', 'C4', 'Gb4']","[19, 34, 38, 40, 46]"
Ab,dominant-13th,[],"['Ab2', 'Gb3', 'Bb3', 'C4', 'F4', 'C5']","[24, 34, 38, 40, 45, 52]"
B,minor-seventh,[],"['B2', 'A3', 'D4', 'A4']","[27, 37, 42, 49]"
E,dominant-13th,[],"['E2', 'D3', 'G#3', 'C#4', 'G#4']","[20, 30, 36, 41, 48]"
Bb,minor-seventh,[],"['Bb2', 'Ab3', 'Db4', 'Ab4']","[26, 36, 41, 48]"
Eb,dominant-13th,[],"['Eb2', 'Db3', 'G3', 'C4', 'G4']","[19, 29, 35, 40, 47]"
Db,dominant-13th,[],"['Db3', 'B3', 'F4', 'Bb4', 'F5']","[29, 39, 45, 50, 57]"
Eb,minor-seventh,[],"['Eb2', 'Gb3', 'C4', 'F4', 'Bb4']","[19, 34, 40, 45, 50]"
Ab,dominant,[],"['Ab2', 'Gb3', 'Bb3', 'C4']","[24, 34, 38, 40]"
